time (UTC),latitude (degrees_north),longitude (degrees_east),date_utc,primary_sample_unit,station_nr,sample_depth (m),habitat_cd,habitat_type,depth_strat,depth_strat_description,sub_region,sub_region_name_description,admin,administration_description,scientific_name,common_name,len (cm),num,time_seen,strat,strat_description
2017-08-02T00:00:00Z,18.35779,-64.77686,2017-08-02T00:00:00Z,6116,1,13.0,PTRF,Patch reef (Aggregate and individual),DEEP,deep (12-30 m),STJ,St. John,VIIS,Virgin Islands National Park,Chaetodon capistratus,foureye butterflyfish,7.0,1.0,1,PTRF_DEEP,Patch reef (Aggregate and individual) deep
2017-08-02T00:00:00Z,18.35779,-64.77686,2017-08-02T00:00:00Z,6116,1,13.0,PTRF,Patch reef (Aggregate and individual),DEEP,deep (12-30 m),STJ,St. John,VIIS,Virgin Islands National Park,Chaetodon capistratus,foureye butterflyfish,10.0,0.0,1,PTRF_DEEP,Patch reef (Aggregate and individual) deep
2017-08-02T00:00:00Z,18.35779,-64.77686,2017-08-02T00:00:00Z,6116,1,13.0,PTRF,Patch reef (Aggregate and individual),DEEP,deep (12-30 m),STJ,St. John,VIIS,Virgin Islands National Park,Chaetodon capistratus,foureye butterflyfish,10.0,0.0,1,PTRF_DEEP,Patch reef (Aggregate and individual) deep
2017-08-02T00:00:00Z,18.35779,-64.77686,2017-08-02T00:00:00Z,6116,1,13.0,PTRF,Patch reef (Aggregate and individual),DEEP,deep (12-30 m),STJ,St. John,VIIS,Virgin Islands National Park,Chaetodon capistratus,foureye butterflyfish,11.0,2.0,1,PTRF_DEEP,Patch reef (Aggregate and individual) deep
2017-08-02T00:00:00Z,18.35779,-64.77686,2017-08-02T00:00:00Z,6116,1,13.0,PTRF,Patch reef (Aggregate and individual),DEEP,deep (12-30 m),STJ,St. John,VIIS,Virgin Islands National Park,Chaetodon capistratus,foureye butterflyfish,11.0,0.0,1,PTRF_DEEP,Patch reef (Aggregate and individual) deep
2017-08-02T00:00:00Z,18.35779,-64.77686,2017-08-02T00:00:00Z,6116,1,13.0,PTRF,Patch reef (Aggregate and individual),DEEP,deep (12-30 m),STJ,St. John,VIIS,Virgin Islands National Park,Chaetodon capistratus,foureye butterflyfish,12.0,0.0,1,PTRF_DEEP,Patch reef (Aggregate and individual) deep
2017-08-02T00:00:00Z,18.35779,-64.77686,2017-08-02T00:00:00Z,6116,1,13.0,PTRF,Patch reef (Aggregate and individual),DEEP,deep (12-30 m),STJ,St. John,VIIS,Virgin Islands National Park,Chaetodon ocellatus,spotfin butterflyfish,0.0,0.0,1,PTRF_DEEP,Patch reef (Aggregate and individual) deep
2017-08-02T00:00:00Z,18.35779,-64.77686,2017-08-02T00:00:00Z,6116,1,13.0,PTRF,Patch reef (Aggregate and individual),DEEP,deep (12-30 m),STJ,St. John,VIIS,Virgin Islands National Park,Chaetodon sedentarius,reef butterflyfish,0.0,0.0,1,PTRF_DEEP,Patch reef (Aggregate and individual) deep
2017-08-02T00:00:00Z,18.35779,-64.77686,2017-08-02T00:00:00Z,6116,1,13.0,PTRF,Patch reef (Aggregate and individual),DEEP,deep (12-30 m),STJ,St. John,VIIS,Virgin Islands National Park,Chaetodon striatus,banded butterflyfish,0.0,0.0,1,PTRF_DEEP,Patch reef (Aggregate and individual) deep
2017-08-02T00:00:00Z,18.35779,-64.77686,2017-08-02T00:00:00Z,6116,1,13.0,PTRF,Patch reef (Aggregate and individual),DEEP,deep (12-30 m),STJ,St. John,VIIS,Virgin Islands National Park,Amblycirrhitus pinos,redspotted hawkfish,0.0,0.0,1,PTRF_DEEP,Patch reef (Aggregate and individual) deep
